區處別,淨水場名稱,X座標(TWD97),Y座標(TWD97),主要供水轄區,原水來源
1,二坪淨水場,315789.4407,2785814.023,北市萬里區、基?市基?一?、基?二?、基?三?等地區,二坪湧泉
1,中幅淨水場,317998.1976,2784237.323,新北市萬里區、基?市基?一?、基?二?、基?三?等地區,瑪鋉溪
1,六堵淨水場,320864.2537,2776422.269,六堵工業區及七堵區,瑪陵坑溪
1,白雲淨水場,316528.5562,2771357.04,汐止水源路二段.汐碇路,康誥坑溪
1,安樂淨水場,323740.2223,2780864.002,基隆市中山區及安樂區,瑪鋉溪
1,員山淨水場,332908.9227,2777158.981,新北市瑞芳區市區含猴硐大寮工業區四腳亭地區,基隆河、蛇形溪
1,貢寮淨水場,342879.3258,2767306.891,新北市貢寮區、雙溪區、瑞芳區及基隆市,雙溪
1,新山淨水場,322645.4729,2780420.559,基隆市之安樂、中山、仁愛、信義、中正、七堵等六個行政區及港區船舶用水、台北縣汐止市等地區,基隆河、新山水庫、東勢溪、瑪鋉溪
1,暖暖淨水場,323985.3846,2776572.893,基隆市之暖暖區、七堵區、仁愛區及台北縣四腳亭地區,基隆河、西勢水庫、東勢溪
1,萬里淨水場,319220.6424,2785878.387,萬里全區,萬里湧泉
1,小格頭淨水場,315200.5332,2760613.917,新北市石碇區,烏塗溪
1,平溪淨水場,325824.5222,2767568.474,新北市平溪區,芊蓁林溪
1,石碇淨水場,315982.7384,2766740.068,新北市深坑區、石碇區,烏塗溪
1,坪林淨水場,322031.7059,2759220.496,新北市坪林區、深坑區、石碇區,北勢溪
1,北投子淨水場,296848.545,2785243.955,新北市淡水區,北投子湧泉
1,老梅淨水場,305637.0888,2794879.134,新北市三芝區及石門區,老梅溪、四合興圳
1,湧泉淨水場,296940.7505,2785397.355,新北市淡水區,雙峻頭湧泉
1,樹興淨水場,299230.5448,2785051.228,新北市三芝區及石門區,公司田溪
1,興華淨水場,301322.6872,2787343.585,新北市三芝區及石門區,公司田溪
1,林莊淨水場,310205.5778,2789063.708,金山全區,頂中股圳、磺溪
1,烏來淨水場,305851.7378,2750931.839,新北市烏來區,桶後溪
2,大湳淨水場,278905.651,2762751.055,"(林口區) :全區、惟太平里少部分用戶供水，大多使用簡易自來水。
(五股區)福德里登林路部分地區。
(桃園區)：全區。
(八德區)全區，其中大仁、大安2里部分由板新廠供水。
(蘆竹區)全區。
(龜山區)全區，其中山德、山頂里少部分由板新廠供水。
(泰山區)南林路(約179戶)",石門水庫
2,大溪淨水場,285872.8161,2746594.989,(大溪區)目前只供應一心、田心、一德等3里。,龍眼溪
