id,title,location,latitude,longitude
SJyQlZV9Gtw,20221031 下午北區，江明宗街講,北區開元路442巷口,23.011312,120.226199
mrIA2HiS25Q,餓了嗎？議員投給 2 號江明宗,,,
Jogk6TyKs20,20221031 早上北區，江明宗掃街,,,
RBqRGkkZ3Og,20221030 森山市集發放面紙文宣,,,
WOVmFqQiRPA,20221029 路口宣講，推廣捐血活動,,,
LyVMjH-ZEMI,20221029 北區中山捐血車捐血,,,
h-HP7Agnkvs,20221028 下午北區，江明宗街講,北區公園南路/公園路,23.001025,120.208789
6YTRA9b1CLw,20221028 早上中西區，江明宗掃街,,,
gHgY4LuBDzE,20221027 下午中西區，江明宗街講,中西區海安路一段/府前路二段,22.990902,120.195513
9NC-WPCNDqw,20221027 早上北區，江明宗掃街,,,
xl_v5Jfuy_8,ep03 我動員的是我自己,,,
g7S1W7vqvSQ,20221026 下午中西區，江明宗街講,中西區民生路二段/中華西路,22.997976,120.186765
9mMCYOoSZRo,20221026 早上中西區，江明宗掃街,,,
mgCcZh7uDxI,20221025 下午北區，江明宗街講,北區中華西路二段/和緯路四段,23.006768,120.186358
DG1cZmQ1uNk,20221025 早上北區，江明宗掃街,,,
Xqaxb2Gjbvg,20221024 下午北區，江明宗街講,北區和緯路二段/西門路四段,23.01143,120.20878
qrgnpCIGY-c,20221024 早上中西區，江明宗掃街,,,
VLOngm8n6qg,20221023 台南市陰陽宅職業工會餐會,,,
K7Zdfgi5q1Q,20221023 早上中西區，東菜市掃街拜票,,,
jvNw3mxzEmw,20221022 江明宗暨蕭漍華聯合競選總部開幕,,,
Q4AfuFs5n9E,ep02 參選登記為什麼不能網路上傳資料就好,,,
pUtJ8uGTwXc,20221022 競選總部搭棚過程,,,
OqkHudRfWtU,20221021 候選人抽籤記錄,,,
ZHb_8RlvlEY,20221020 下午北區，江明宗街講,北區和緯路四段/文賢路,23.009592,120.193953
j14iwlYNUyA,20221020 早上北區，江明宗掃街,,,
qquGLprR1ic,20221019 下午北區，江明宗街講,北區公園南路/西門路三段,23.002694,120.203427
bW0vO7tIH6I,20221019 早上中西區，江明宗掃街,,,
Z6ssGKR8YXc,20221018 下午北區，江明宗街講,北區公園南路/北門路二段,23.000052,120.212658
WkvMtT7gkVI,20221018 早上北區，江明宗掃街,,,
_P7ArdK1Usk,20221017 下午北區，江明宗街講,北區林森路三段/開南街,23.006572,120.22437
e7wg0mDXKRE,20221016 親子嘉年華台南場,,,
9GEBc6sRi7o,20221017 早上中西區，江明宗掃街,,,
EebM3GPbgSs,ep1. 會不會是台南最小的候選人看板,,,
eZYdm2RYX2I,20221014 下午北區，江明宗街講,北區海安路三段/臨安路二段,23.003653,120.199835
IhQr9vNVtMg,20221014 早上北區，江明宗掃街,,,
LdWJfFM230Y,20221013 下午北區，江明宗街講,中西區金華路四段/成功路,23.001344,120.196173
KnXtKp2r6mY,20221013 早上中西區，江明宗掃街,,,
-AmAjBh9_mY,20221012 下午北區，江明宗街講,北區公園南路/公園路,23.001025,120.208789
QX5_nCq85Ak,20221012 早上北區，江明宗掃街,,,
5BcGGrl3GVM,20221011 下午北區，江明宗街講,北區中華西路二段/和緯路四段,23.006768,120.186358
AaFydf9fxqA,20221011 早上中西區，江明宗掃街,,,
mEO-oCODZDg,20221008 早上中西區，江明宗掃街,,,
kt5tF_A8pQw,20221007 下午中西區，江明宗街講,中西區海安路二段/民生路二段,22.995264,120.196406
LuY2POV8FzM,20221007 早上北區，江明宗掃街,,,
PPnyw5s7ZHk,20221006 下午北區，江明宗街講,北區海安路三段/臨安路二段,23.003653,120.199835
GBSEeee41_g,20221006 中西區六合境清水寺長輩說故事,,,
6JL2v960FVU,20221006 早上中西區，江明宗掃街,,,
PfGey69CaeA,20221005 下午北區，江明宗街講,北區公園南路/北門路二段,23.000052,120.212658
lOayn-Qnk_A,20221005 早上北區，江明宗掃街,,,
GBv8b2a6EMU,20221004 下午中西區，江明宗街講,中西區金華路四段/成功路,23.001344,120.196173
t_JSfNjJMU8,20221003 下午中西區，江明宗街講,中西區南門路/府前路一段,22.989167,120.204515
ItPrMla_Uus,20221003 早上北區，江明宗掃街,,,
BoZIaeqUnr4,20221001 北區北門里餐會-擺放文宣,,,
Ezdn3c4cJEE,20221001 北區國姓社區發展協會餐會-擺放文宣,,,
fqqglT2qn-k,20221001 北區和順里重陽節餐會-擺放文宣,,,
oVOVMdqQBSM,20221001 博愛長壽會重陽節活動 - 發放文宣,,,
03k0-FbHRks,20221001 北區和順里重陽節餐會-上台致詞,,,
SpYFDMBQX7Q,20221001 中西區民生社區餐會 - 擺放文宣,,,
