id,name,lat,lng,description,image
1,光復鄉公所,23.6656,121.4233,光復鄉災害應變中心,
2,光復國中,23.6533,121.4207,避難收容處所,
3,光復車站,23.6665,121.4204,交通樞紐與物資集散地,
