name,address,longitude,latitude,id
台南市東區新東社區發展協會,臺南市東區林森路2段48號,120.685137,24.1378,323
台南市媽祖樓聖母文化發展協會,台南市中西區忠孝街88號,120.685137,24.1378,321
臺南市北區重興社區發展協會,臺南市北區重興里東豐路451巷169號,120.685137,24.1378,320
臺南市郡西十三番地人文產業促進協會,,120°11&#3940.9,22°59&#3926.5,309
南臺科技大學工業管理與資訊系,台南市永康區南台街1號,120.685137,24.1378,308
台南市仁德區新田社區發展協會,臺南市新田里民安路一段435號,120.685137,24.1378,307
臺南市南區龍崗國民小學,702台南市南區鯤鯓里21鄰鯤鯓路147號,120.685137,24.1378,306
臺南市關廟區新關廟社區發展協會,臺南市關廟區關廟里6鄰民生街220號,120.326184,22.959682,305
台南市東區虎尾社區發展協會,臺南市東區東成街76號,120.233940,22.979751,304
臺南市灣裡萬年文史推廣學會,臺南市南區灣裡路660號,120.182881,22.919915,303
臺南市新化區護國社區發展協會,台南市新化區建國街11號,120.309419,23.036642,302
臺南市南化區東和社區發展協會,71602臺南市南化區東和里19-1號,120.474524,23.021987,301
台南市山上區豐德社區發展協會,74341臺南市山上區豐德里4鄰隙仔口49-2號,120.361271,23.077599,300
台南市山上區南洲社區發展協會,臺南市山上區南洲里158號,120.352252,23.103008,299
臺南市新營區三仙社區發展協會,臺南市新營區三民路146號,120.310421,23.307161,298
臺南市新營區延平社區發展協會,臺南市新營區延平里復興路29巷18號,120.312436,23.302562,297
台南市東區大德社區發展協會,台南市東區立德十路46巷6號,120.214771,22.977573,296
臺南市東區德高社區發展協會,臺南市東區仁和路196號,120.234545,22.968830,295
臺南市東山區南溪社區發展協會,東山區南溪里二重溪43號,120.402942,23.273260,294
臺南市後壁區後壁國民小學,臺南市後壁區後壁里195號,120.366241,23.366481,293
臺南市新營區姑爺社區發展協會,臺南市新營區姑爺里挖仔31號,120.254475,23.280274,292
臺南市善化區文正社區發展協會,711台南市善化區文正路25巷18號,120.286339,23.136817,291
臺南市新營區中營社區發展協會,台南市新營區中營里東山三路121號,120.330386,23.313960,290
臺南市東山區南勢社區發展協會,臺南市東山區南勢里66-4號,120.466249,23.256554,289
臺南市東山區東原社區發展協會,臺南市東山區東原里23鄰8號,120.446473,23.265570,288
臺南市中西區永福國小,704臺南市中西區永福路二段86號,120.201871,22.992864,287
台南市仁德區中洲社區發展協會,717臺南市仁德區中洲里中洲350號,120.250510,22.907571,286
"臺南市東山區 聖賢社區發展協會",臺南市東山區聖賢里北勢寮73號之6,120.365750,23.317419,285
臺南市新東在地生活協會,臺南市新營區東泰八街2巷1號1樓,120.326930,23.318683,284
臺南市北區振興社區發展協會,台南市北區長榮路四段185號,120.221235,23.006758,283
台南市五條港發展協會,台南市中西區神農街70號,120.197449,22.997689,282
臺南市新化牧場社區發展協進會,臺南市新化區牧場112號,120.329943,23.059431,281
臺南市六甲區公所,"73443 台南市六甲區中山路202號",120.347831,23.231947,280
臺南市關廟區公所,"718 台南市關廟區香洋里中正路998 號"," 120.328181",22.963077,279
臺南市山上區公所,"74342  臺南市山上區南洲里325號",120.353024,23.103864,278
敏惠醫護管理專科學校,臺南市柳營區中山東路二段1116號,120.330755,23.279330,275
南臺科技大學工業管理與資訊系,"台南市永康區南台街1號 D棟",120.222544,23.022483,274
臺南市南區日新社區發展協會,台南市南區日新里利南街136號,120.188184,22.970364,273
臺南市新市區潭頂社區發展協會,臺南市新市區潭頂里184號,120.324921,23.076211,272
臺南市善化區田寮社區發展協會,臺南市善化區田寮里168-9號,120.305362,23.150894,271
台南市麻豆區社區文化營造協會,台南市麻豆區大埕里大同路26之2號,120.246242,23.185972,270
台南市學甲區一秀社區發展協會,臺南市學甲區秀昌里一秀6鄰69號,120.176505,23.239590,269
臺南市楠西區鹿田社區發展協會,臺南市楠西區鹿田里油車14-26號,120.489980,23.166833,268
台南市將軍區苓和社區,"台南市將軍區苓和里苓和 12之1號",120.166463,23.226199,267
臺南市善化區坐駕社區發展協會,台南縣坐駕里大成路41號,120.305429,23.130798,266
台南市學甲區大灣社區發展協會,臺南市學甲區大灣里大灣101號,120.189237,23.215174,265
台南市左鎮區內睦社區發展協會,台南市左鎮區內庄里78-1號,120.423417,23.0436,264
臺南市學甲區新榮社區發展協會,"臺南市學甲區新榮里東寮 63 號",120.185756,23.223880,263
臺南市歸仁區八甲社區發展協會,臺南市歸仁區歸仁里大明街75號,120.297091,22.976708,262
台南市新化區東榮社區發展協會,臺南市新化區信義路189號,120.309088,23.035067,261
臺南市將軍區鯤鯓國民小學,台南市將軍區鯤溟里6號,120.102627,23.187727,260
臺南市學甲區學甲國民小學,台南市學甲區秀昌里一秀30號,120.175644,23.237828,259
台南市白河區永安社區發展協會,永安里新興路536號,120.414071,23.354044,258
臺南市將軍區將軍國民小學,台南市將軍區將貴里58號,120.135992,23.214649,257
臺南市安南區南興社區發展協會,臺南市安南區安興街435巷2號,120.685136,24.1378,256
臺南市佳里區營頂社區發展協會,臺南市佳里區營頂里31-1號,120.180790,23.159470,255
臺南市安定區蘇厝社區發展協會,臺南市安定區蘇厝里283號,120.250051,23.131523,254
臺南市楠西區密枝社區發展協會,台南市楠西區密枝里6號,120.512321,23.199438,253
臺南市南化區玉山社區發展協會,台南市南化區玉山里69-2號,120.519373,23.07605,252
台南市歸仁區崙頂社區發展協會,臺南市歸仁區崙頂街38號,120.296314,22.959920,251
財團法人凱達格蘭文化藝術基金會,臺南市歸仁區中正北路一段148號,120.295561,22.971805,250
臺南市善化區文昌社區發展協會,台南市善化區光復路175號之1,120.290274,23.127779,249
臺南市下營區甲中社區發展協會,臺南市下營區甲中里中庄子8鄰58號,120.273656,23.253803,248
臺南市東區東聖社區發展協會,臺南市東區中華東路二段133巷57弄34號,120.233538,22.985856,247
台南市月津文史發展協會,台南市鹽水區田寮里68號之1,120.266720,23.319854,246
臺南市新營區舊廍社區發展協會,台南市新營區舊廍里1號,120.288768,23.286730,245
臺南市新營區王公社區發展協會,臺南市新營區民族路21號,120.318222,23.315851,244
臺南市新營區南興社區發展協會,台南市新營區建業路157巷7號,120.311758,23.299111,243
臺南市楠西區公所,臺南市楠西區楠西里22鄰中正路２３０號,120.463817,23.125221,242
臺南市東區區公所,臺南市東區崇信里27鄰崇學路100號,120.224003,22.980242,241
臺南市安南區公所,臺南市安南區安中路308號,120.176335,23.048902,240
臺南市中西區公所,臺南市中西區開山路1號,120.205599,22.992240,239
臺南市二空眷村文化營造促進會,台南市東區文化五街11號,120.232238,22.975731,238
臺南市南區新興社區發展協會,臺南市南區新興路22號,120.196389,22.979254,237
臺南市南區大恩社區發展協會,臺南市大同路二段750巷186號,120.213051,22.966388,236
臺南市永康區復國社區發展協會,臺南市永康區復國二路46號,120.247234,23.005416,235
臺南市永康區龍潭社區發展協會,臺南市永康區龍潭里龍國街400號,120.267513,23.031877,234
財團法人朝陽文化藝術基金會,71077臺南市永康區文賢街68巷1號(永康社區大學),120.272671,23.005839,233
臺南市歸仁區新媽廟社區發展協會,臺南市歸仁區媽廟里媽廟二街15巷30號,120.295977,22.999450,232
台南市左鎮區澄山社區發展協會,臺南市新化區信義路117巷49之5號,120.314749,23.035423,231
臺南市大內區環湖社區發展協會,臺南市大內區環湖里57號,120.430001,23.173611,230
臺南市大內區石子瀨社區發展協會,臺南市大內區石城里114-66號,120.350757,23.119355,229
社團法人臺灣社區關懷協會,臺南市新化區知義里口埤91號,120.350248,23.025407,228
臺南市新化區山腳社區發展協會,臺南市新化區山腳里78-1號,120.334902,23.008702,227
臺南市大內區公所,臺南市大內區大內里1號,120.362286,23.119598,226
臺南市新市區新和社區發展協會,臺南市新市區自強街70巷2號,120.294509,23.081827,225
臺南市新市區新市社區發展協會,臺南市新市區新市里中正路356巷15號,120.291967,23.079273,224
臺南市新市區社內社區發展協會,臺南市新市區社內里167-2號,120.280116,23.076580,223
