姓名,性別,得票數
卓志鋼,男,26
楊恕人,男,18
劉奕霆,男,97
陳靜琳,女,49
吳士廉,男,42
李家宜,女,32
張智翔,男,31
魏瑞妤,女,30
曾宣惠,女,30
余秋蓉,女,29
黃國豪,男,28
林恩豪,男,28
李嘉雯,女,27
顏筱珊,女,25
黃浚閣,男,21
陳思妤,女,20
陳大業,男,19
楊曄,男,18
吳承杰,男,17
黃湘晴,女,16
廖先嶸,男,14
陳怡君,女,93
簡幸甫,男,61
吳亞倫,女,59
黃守仕,女,43
廖志杰,男,38
羅怡媃,女,37
吳家旺,男,35
林財祥,男,31
王如意,女,31
陳姿樺,女,29
古又文,男,29
侯志明,男,27
許恒誠,男,26
曾鼎文,男,25
江建毅,男,25
蕭珉亞,女,21
許安成,男,20
林政佑,男,20
陳和謙,男,19
曾姸潔,女,78
林昭印,男,66
楊大緯,男,51
王少芸,女,47
陳義佑,男,29
王鎔蓁,女,27
彭士益,男,18
楊美惠,女,14
林岳龍,男,10
柯美蘭,女,35
吳俊民,男,27
徐勝凌,男,23
鍾心渝,女,41
葉國文,男,23
賴俊銘,男,14
林志學,男,41
鍾昀哲,男,19
繆宗翰,男,16
楊瓊瑛,女,95
丁貞文,女,68
邱于珊,女,61
許瑞宏,男,56
許書豪,男,52
王雅惠,女,42
林坤詮,男,37
王慧娟,女,34
吳尚諭,男,34
張元䅍,男,31
王冠忠,男,30
黃怡雯,女,90
呂岱融,男,78
徐尚裕,男,68
張勝彬,男,61
張仕穎,男,46
林麗馨,女,14
廖鳳翔,男,12
魏怡婷,女,32
陳瓊月,女,27
吳宜穎,女,27
賴渝璇,女,26
蔡君婷,女,18
許正憲,男,50
何泰鋒,男,14
王冠鈞,男,37
朱國康,男,53
林乃立,女,48
洪梓傑,男,47
江明宗,男,44
楊家宜,男,39
林慧雯,女,23
陳癸妃,女,21
曾尹儷,女,72
莊貽量,男,36
曾偉修,男,36
劉家榮,男,32
王宥晴,女,25
陳欣玉,女,22
宋國清,男,13
陳正淋,男,12
江尚玲,女,10
郭泰安,男,65
鄧喬筠,女,17
李辰于,男,36
阮椲婷,女,27
游孟璇,女,26
蔡翼陽,男,86
沈偉平,男,27
翁瑾諺,男,23
謝穎諄,男,17
周曉芸,女,22
簡俊德,男,3
李苡棋,女,17
卓仁凱,男,9
吳燕雪,女,9
張峻榮,男,14
林文福,男,11
吳靜怡,女,14
陳志翰,男,13
蔡偉強,男,19
李彥勲,男,7
游雅婷,女,20
吳兆耀,男,9
林均昱,男,23
張惟荏,男,41
高浩仁,男,10
張家閎,男,17
吳光明,男,17
高語晞,女,10
劉宗漢,男,11
楊善媛,女,24
莊伯昭,男,14
賴秋雅,女,37
洪輝揚,男,36
阮俊浩,男,20
劉素君,女,19
陳祥麟,男,18
陳媛秀,女,17
顏靖彬,男,16
蔣海倫,女,15
陳進男,男,15
林子丞,男,14
連宗聖,男,14
張藝珊,女,14
黃楓仁,男,13
蕭賢義,男,12
李孟哲,男,12
李佳琴,女,12
林元敏,男,12
李文耀,男,11
楊傑閔,男,11
陳偉任,男,11
