姓名,2024,2022,2020
王鎔蓁,27,0,0
楊美惠,14,0,0
鍾嘉祐,8,0,0
游雅婷,20,0,0
吳俊民,27,0,0
鍾心渝,41,0,0
葉國文,23,0,0
吳兆耀,9,0,0
丁貞文,68,0,0
楊幸宜,6,0,0
王冠忠,30,0,0
林均昱,23,0,0
張元䅍,31,0,0
陳永祥,3,0,0
王文成,9,0,0
王雅惠,42,0,0
王慧娟,34,0,0
林坤詮,37,0,0
詹隆祥,11,0,0
左嘉偉,6,0,0
鄭宇華,5,0,0
黃怡雯,90,0,0
徐尚裕,68,0,0
王博賢,10,0,0
周健新,10,0,0
賴秋雅,37,0,0
張勝彬,61,0,0
洪輝揚,36,0,0
張惟荏,41,0,0
張仕穎,46,0,0
林麗馨,14,0,0
廖鳳翔,12,0,0
吳宜穎,27,0,0
張藝珊,14,0,0
吳子呈,1,0,0
陳虹君,3,0,0
丁于淵,8,0,0
張家閎,17,0,0
于綵禛,108,0,0
賴渝璇,26,0,0
李佳琴,12,0,0
魏怡婷,32,0,0
鄒宇傑,0,0,0
許正憲,50,0,0
吳燕雪,9,0,0
林乃立,48,0,0
陳進男,15,0,0
簡鴻祐,6,0,0
吳佳橙,3,0,0
朱國康,53,0,0
洪梓傑,47,0,0
郭如芳,6,0,0
林慧雯,23,0,0
吳光明,17,0,0
高語晞,10,0,0
江尚玲,10,0,0
顏琮明,6,0,0
郭國順,4,0,0
倪弘澤,8,0,0
黃政賢,5,0,0
宋國清,13,0,0
萬家甫,2,0,0
陳欣玉,22,0,0
王宥晴,25,0,0
黃宇薇,6,0,0
陳正淋,12,0,0
曾尹儷,72,0,0
郭泰安,65,0,0
鄧喬筠,17,0,0
游孟璇,26,0,0
林文福,11,0,0
劉宗漢,11,0,0
陳耀丰,4,0,0
李苡棋,17,0,0
楊善媛,24,0,0
蔡翼陽,86,0,0
沈偉平,27,0,0
莊伯昭,14,0,0
翁瑾諺,23,0,0
謝穎諄,17,0,0
簡俊德,3,0,0
翁佳勤,0,3,0
黃志隆,0,0,0
呂順榮,0,0,0
劉孟哲,0,16,0
陳威穎,0,21,0
王清旺,0,0,0
王明煒,0,18,0
盧建驊,0,24,0
黃正偉,0,4,0
秦哲群,0,3,0
咼昇華,0,24,0
劉傳方,0,19,0
陳柏睿,0,29,0
吳予晴,0,77,0
黃心緗,0,47,0
周建誠,0,4,0
李裕滄,0,13,0
張少甫,0,11,0
許志仁,0,0,0
盧允之,0,0,0
黃信豪,0,20,0
洪岳銘,0,7,0
陳詩薇,0,33,0
林冠廷,0,23,0
蕭漍華,0,5,0
柯清祿,0,0,0
李偉傑,0,14,0
蔡吉忠,0,7,0
謝秉舟,0,0,0
李偉華,0,96,0
林錦生,0,19,0
林錦輝,0,44,0
白昇偉,0,9,0
黃湘羚,0,39,0
蘇金秋,0,21,0
羅永喨,0,13,0
余曜丞,0,0,0
陳慶倫,0,2,0
陳瑞淳,0,12,0
吳東翰,0,4,0
蕭凱庭,0,9,0
張清俊,0,29,0
范姜奕凱,0,21,0
林翰,0,12,0
嚴文章,0,11,0
曾界智,0,0,0
謝富貴,0,0,0
陳彥儒,0,0,0
吳暖琴,0,0,0
翁志傑,0,0,0
柯忠昀,0,16,0
劉峻泰,0,0,0
游大慶,0,0,0
鍾惠美,0,0,0
莎娣妮,0,0,0
李振豪,0,0,0
施亦旋,0,8,0
陳瑜沁,0,0,0
林咨妗,0,25,0
陳鶴齡,0,10,0
徐佑昇,0,9,0
林育恩,0,0,0
林靖冠,0,25,0
黃于倢,0,5,0
戴慈君,0,49,0
陳俊霖,0,64,0
張義清,0,11,0
莊明恆,0,9,0
蔡秉翰,0,11,0
孫維誠,0,14,0
洪晨豪,0,10,0
陳筱璇,0,29,0
呂佳螢,0,0,0
張承堃,0,0,0
賴則夫,0,0,0
林育輝,0,0,0
錢祺圍,0,0,0
郭家希,0,0,0
陳冠宏,0,0,0
蕭群恩,0,0,0
黃景昌,0,0,0
謝富宮,0,0,0
陳柏誠,0,0,0
蔡文盛,0,28,0
許登淇,0,14,0
施淑婷,0,29,0
李宗蔚,0,0,0
龔哲,0,0,0
吳慧玲,0,25,0
蔡騰瑋,0,23,0
楊朝閔,0,0,0
賴俊豪,0,17,0
陳彥榜,0,14,0
張喬為,0,0,0
鄧惠珍,0,40,0
陳世偉,0,17,0
林子揚,0,12,0
江和樹,0,0,70
吳亭蓁,0,0,60
周家宏,0,0,10
楊弘仁,0,0,99
張孝慈,0,0,16
蔡任修,0,0,18
謝寧,0,0,34
戴家強,0,0,4
林冠任,0,0,12
莊國輝,0,0,9
朱哲成,0,0,72
陳鑀枚,0,0,5
吳鴻,0,0,3
李吉甫,0,0,36
張育瑄,0,0,11
黃柏尹,0,0,15
陳孟功,0,0,38
林耀宗,0,0,33
高建中,0,0,26
黃炤翔,0,0,18
楊博宇,0,0,83
陳錦惠,0,0,44
陳允萍,0,0,16
趙子毅,0,0,23
何松穎,0,0,62
黃良德,0,0,19
朱健德,0,0,13
劉瑋,0,0,26
邱惠英,0,0,13
廖凱宏,0,0,66
林俞均,0,0,47
王孝裕,0,0,26
楊智偉,0,0,28
張睿倉,0,0,133
黃震州,0,0,5
賴明惠,0,0,11
黃國清,0,0,4
黃煜舜,0,0,55
蔡協亨,0,0,4
官忠輝,0,0,28
夏筠益,0,0,18
梁珍彗,0,0,7
蘇文賞,0,0,2
林文玲,0,0,64
楊勝凱,0,0,21
羅靖為,0,0,55
張仲翹,0,0,16
秦詩雁,0,0,40
李思慧,0,0,67
張柏崧,0,0,16
李沛珅,0,0,2
陳映辰,0,0,105
朱路芳,0,0,13
吳鎮州,0,0,5
吳達偉,0,0,175
何大弘,0,0,29
陳泓維,0,0,81
蕭乃夫,0,0,9
唐啟鈞,0,0,7
陳宥丞,0,0,57
陳品杰,0,0,29
詹閔雄,0,0,7
林翠玲,0,0,3
林欣賢,0,0,46
孫正華,0,0,16
張凱鈞,0,0,51
陳垚熏,0,0,22
陳雨婷,0,0,1
陳福成,0,0,11
張乃云,0,0,37
劉子茵,0,0,4
朱淑雲,0,0,10
王桂珍,0,0,2
江瑞蓮,0,0,21
葉郁慧,0,0,55
尤信元,0,0,19
謝俊州,0,0,23
何坤鑫,0,0,3
賴冠謀,0,0,2
潘芳芳,0,0,16
柯鑫,0,0,2
謝玉明,0,0,21
鄞楷謙,0,0,16
蘇士銘,0,0,2
蘇秉祥,0,0,21
石人仁,0,0,8
陳思宇,0,0,106
劉宗霖,0,0,3
林拉米愛思,0,0,1
周芳如,0,0,21
劉麗華,0,0,11
王譯生,0,0,9
馮啟彥,0,0,79
王怡雯,0,0,40
王郁揚,0,0,6
黃柏源,0,0,3
張玉琳,0,0,5
楊佩芸,0,0,4
李佳玲,0,0,84
陳麗華,0,0,2
林恕暉,0,0,22
姜賢晟,0,0,1
張幸松,0,0,54
陳立基,0,0,7
關學俊,0,0,1
洪祺翔,0,0,29
黃俊晏,0,0,2
許峻鳴,0,0,8
陳美如,0,0,11
呂儀恬,0,0,28
黃佳蓉,0,0,0
林雅惠,0,0,64
楊舒婷,0,0,3
王郁文,0,0,70
徐萱竹,0,0,63
顏葆仁,0,0,19
廖明達,0,0,2
李逸明,0,0,10
陳千逸,0,0,2
焦偉銘,0,0,8
林璟妍,0,0,62
