姓名,2024,2022,2020
吳士廉,42,58,9
林恩豪,28,24,0
劉奕霆,97,128,130
蔡秉修,10,66,17
黃國豪,28,21,0
廖志杰,38,20,35
王如意,31,113,61
陳祥麟,18,33,12
陳奕帆,2,19,7
簡幸甫,61,39,58
林舜治,7,18,26
林昭印,66,70,66
柯美蘭,35,34,71
徐勝凌,23,27,23
繆宗翰,16,18,11
許書豪,52,18,17
呂岱融,78,40,36
高浩仁,10,0,14
何泰鋒,14,27,56
江明宗,44,49,16
陳癸妃,21,21,20
潘雪明,4,10,13
楊家宜,39,25,37
李辰于,36,35,8
吳靜怡,14,55,0
劉宇亮,2,0,0
曾宣惠,30,23,0
張峻榮,14,23,0
陳大業,19,19,0
簡令紘,2,4,0
楊傑閔,11,12,0
張智翔,31,20,0
卓仁凱,9,12,0
林晏良,6,0,11
蕭賢義,12,36,0
顏一帆,2,18,0
王炯珵,2,9,0
許恒誠,26,17,0
蘇育揚,10,36,0
林道然,3,23,0
楊大緯,51,52,0
林子丞,14,21,0
賴俊銘,14,24,0
林志學,41,40,0
鍾昀哲,19,27,0
許瑞宏,56,26,0
黃楓仁,13,10,0
吳尚諭,34,19,0
楊瓊瑛,95,0,29
邱于珊,61,31,0
阮俊浩,20,4,0
黃志偉,5,0,6
陳瓊月,27,2,0
蔡順鵬,9,0,4
蔡君婷,18,64,0
王冠鈞,37,31,0
莊貽量,36,0,65
曾偉修,36,12,0
劉家榮,32,0,17
阮椲婷,27,21,0
周曉芸,22,12,0
林欣德,0,23,9
魏嘉慶,0,76,33
林韋銘,0,30,6
端木正,0,13,5
李岱殷,0,53,12
顏耀星,0,39,54
王亭雅,0,45,43
黃國晏,0,24,18
詹喬茵,0,43,91
龔勤文,0,20,28
葉政瑋,0,26,5
陳語倢,0,42,29
陳安淇,0,22,69
劉韋巡,0,74,11
江青山,0,52,43
陳偉任,0,8,18
潘孝仁,0,18,31
游卓澔,0,21,11
卓志鋼,26,0,0
楊恕人,18,0,0
李文耀,11,0,0
陳思妤,20,0,0
李孟哲,12,0,0
彭俐萍,4,0,0
陳志翰,13,0,0
黃浚閣,21,0,0
李家宜,32,0,0
魏瑞妤,30,0,0
廖先嶸,14,0,0
"革隆文 格達德班 莊 KelunㆍKatadrepan",6,0,0
郭芸芸,4,0,0
余秋蓉,29,0,0
楊曄,18,0,0
李嘉雯,27,0,0
陳靜琳,49,0,0
黃湘晴,16,0,0
林元敏,12,0,0
顏筱珊,25,0,0
吳承杰,17,0,0
顏志豪,4,0,0
韓震強,10,0,0
羅怡媃,37,0,0
顏靖彬,16,0,0
劉素君,19,0,0
黃守仕,43,0,0
林政佑,20,0,0
劉立仁,9,0,0
蔡偉強,19,0,0
許安成,20,0,0
連宗聖,14,0,0
古又文,29,0,0
陳姿樺,29,0,0
江建毅,25,0,0
林雅瓔,7,0,0
林財祥,31,0,0
侯志明,27,0,0
曾鼎文,25,0,0
吳亞倫,59,0,0
陳和謙,19,0,0
陳怡君,93,0,0
蕭珉亞,21,0,0
蔣海倫,15,0,0
吳家旺,35,0,0
張茵喬,2,0,0
陳媛秀,17,0,0
楊弘意,3,0,0
陳俊杰,5,0,0
王少芸,47,0,0
陳義佑,29,0,0
曾姸潔,78,0,0
彭士益,18,0,0
林岳龍,10,0,0
李彥勲,7,0,0
高華宏,6,0,0
