選舉區,姓名,號次,得票,fb
基隆市,卓志鋼,1,26,https://www.facebook.com/profile.php?id=61570323897547
基隆市,吳靜怡,2,14,
基隆市,楊恕人,3,18,https://www.facebook.com/profile.php?id=100095198853073
基隆市,李文耀,4,11,
台北市,陳思妤,1,20,https://www.facebook.com/raychenchen
台北市,劉宇亮,2,2,
台北市,吳士廉,3,42,https://www.facebook.com/wucs540
台北市,李孟哲,4,12,
台北市,彭俐萍,6,4,
台北市,曾宣惠,7,30,
台北市,張峻榮,8,14,https://www.facebook.com/chunjung.chang.0923
台北市,陳志翰,9,13,
台北市,陳大業,10,19,https://www.facebook.com/chen.tayeh
台北市,林恩豪,11,28,
台北市,黃浚閣,12,21,
台北市,李家宜,13,32,https://www.facebook.com/jiayi.li.75
台北市,魏瑞妤,14,30,https://www.facebook.com/rueiyu.wei/
台北市,廖先嶸,15,14,https://www.facebook.com/profile.php?id=61566675778183
台北市,革隆文 格達德班 莊 KelunㆍKatadrepan,16,6,
台北市,郭芸芸,17,4,
台北市,余秋蓉,18,29,https://www.facebook.com/coco.fish.1/
台北市,劉奕霆,19,97,https://www.facebook.com/profile.php?id=100000322741920
台北市,蔡秉修,20,10,
台北市,簡令紘,21,2,
台北市,楊曄,22,18,https://www.facebook.com/profile.php?id=100006914682645
台北市,楊傑閔,23,11,
台北市,張智翔,24,31,https://www.facebook.com/profile.php?id=100063902992671
台北市,李嘉雯,25,27,https://www.facebook.com/profile.php?id=1833416408
台北市,陳靜琳,26,49,
台北市,卓仁凱,27,9,https://www.facebook.com/profile.php?id=1041316062
台北市,黃湘晴,28,16,
台北市,林晏良,29,6,
台北市,林元敏,30,12,
台北市,顏筱珊,31,25,
台北市,吳承杰,32,17,https://www.facebook.com/profile.php?id=100000122767045
台北市,顏志豪,33,4,
台北市,蕭賢義,34,12,
台北市,黃國豪,35,28,
新北市,韓震強,1,10,
新北市,羅怡媃,2,37,
新北市,顏靖彬,3,16,
新北市,劉素君,4,19,
新北市,廖志杰,6,38,https://www.facebook.com/profile.php?id=100009240976172
新北市,顏一帆,7,2,
新北市,黃守仕,8,43,https://www.facebook.com/profile.php?id=61565561867066
新北市,王如意,9,31,https://www.facebook.com/profile.php?id=100079167634252
新北市,林政佑,10,20,https://www.facebook.com/profile.php?id=100001315584340
新北市,陳祥麟,11,18,
新北市,劉立仁,12,9,
新北市,蔡偉強,13,19,
新北市,許安成,14,20,https://www.facebook.com/chengcheng.xu1
新北市,王炯珵,15,2,
新北市,連宗聖,16,14,
新北市,古又文,17,29,https://www.facebook.com/johankudesign
新北市,陳姿樺,18,29,
新北市,江建毅,19,25,https://www.facebook.com/jiang.jian.yi/
新北市,林雅瓔,20,7,
新北市,許恒誠,21,26,
新北市,蘇育揚,22,10,
新北市,林財祥,23,31,
新北市,侯志明,24,27,
新北市,曾鼎文,25,25,https://www.facebook.com/dean.zeng.37/
新北市,陳奕帆,26,2,
新北市,吳亞倫,27,59,https://www.facebook.com/wu.jie.jie.2024
新北市,陳和謙,28,19,
新北市,簡幸甫,29,61,https://www.facebook.com/gcf0607
新北市,林道然,30,3,
新北市,陳怡君,31,93,
新北市,蕭珉亞,32,21,
